Emp_no,Employee_Number,Attrition,Business_Travel,Age,CF_age_band,CF_attrition_label,Department,Education_Field,Gender,Job_Role,Marital_Status,Over_Time,Over18,Training_Times_Last_Year,CF_current_Employee,Distance_From_Home,Education_level,Environment_Satisfaction,Daily_Rate,Hourly_Rate,Job_Involvement,Job_Level,Job_Satisfaction,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Standard_Hours2,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
STAFF-150,150,No,Rarely,24,Under 25,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,No,Y,2,1,18,High School,2,1127,52,3,1,3,2774,13257,0,12,3,3,70,35,1,6,3,5,3,1,2
STAFF-151,151,No,Rarely,34,25 - 34,Current Employees,R&D,Life Sciences,Female,Research Scientist,Divorced,No,Y,3,1,6,Master's Degree,3,1031,45,2,2,2,4505,15000,6,15,3,3,85,55,1,12,3,1,0,0,0
STAFF-152,152,No,Rarely,37,35 - 44,Current Employees,Sales,Life Sciences,Male,Sales Executive,Single,No,Y,3,1,3,Bachelor's Degree,3,1189,87,3,3,4,7428,14506,2,12,3,1,80,60,0,12,3,5,3,1,3
STAFF-153,153,No,Rarely,34,25 - 34,Current Employees,R&D,Medical,Female,Manager,Single,No,Y,6,1,5,Bachelor's Degree,3,1354,45,2,3,1,11631,5615,2,12,3,4,70,68,0,14,3,11,10,5,8
STAFF-154,154,No,Frequently,36,35 - 44,Current Employees,Sales,Technical Degree,Female,Sales Executive,Married,No,Y,6,1,11,Associates Degree,2,1467,92,3,3,4,9738,22952,0,14,3,3,85,42,1,10,3,9,7,2,8
STAFF-155,155,No,Rarely,36,35 - 44,Current Employees,R&D,Life Sciences,Female,Laboratory Technician,Divorced,No,Y,2,1,3,Associates Degree,1,922,39,3,1,4,2835,2561,5,22,4,1,75,74,1,7,3,1,0,0,0
STAFF-158,158,No,Frequently,43,35 - 44,Current Employees,Sales,Life Sciences,Male,Manager,Married,Yes,Y,3,1,26,Associates Degree,3,394,92,3,4,4,16959,19494,1,12,3,4,60,50,2,25,4,25,12,4,12
STAFF-159,159,No,Frequently,30,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,No,Y,2,1,23,Bachelor's Degree,1,1312,96,1,1,3,2613,22310,1,25,4,3,75,56,3,10,2,10,7,0,9
STAFF-160,160,No,No,33,25 - 34,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,2,1,22,Associates Degree,3,750,95,3,2,2,6146,15480,0,13,3,1,65,60,1,8,4,7,7,0,7
STAFF-161,161,Yes,Rarely,56,Over 55,Ex-Employees,R&D,Life Sciences,Female,Research Scientist,Married,Yes,Y,2,0,14,Master's Degree,2,441,72,3,1,2,4963,4510,9,18,3,1,60,77,3,7,3,5,4,4,3
STAFF-162,162,No,Rarely,51,45 - 54,Current Employees,R&D,Life Sciences,Male,Research Director,Single,No,Y,5,1,6,Bachelor's Degree,1,684,51,3,5,3,19537,6462,7,13,3,3,65,38,0,23,3,20,18,15,15
STAFF-163,163,Yes,Rarely,31,25 - 34,Ex-Employees,Sales,Life Sciences,Male,Sales Executive,Married,Yes,Y,3,0,6,Master's Degree,2,249,76,1,2,3,6172,20739,4,18,3,2,80,59,0,12,2,7,7,7,7
STAFF-164,164,No,Rarely,26,25 - 34,Current Employees,R&D,Other,Female,Research Scientist,Married,No,Y,3,1,6,Bachelor's Degree,3,841,46,2,1,2,2368,23300,1,19,3,3,60,42,0,5,2,5,4,4,3
STAFF-165,165,Yes,Rarely,58,Over 55,Ex-Employees,R&D,Medical,Female,Healthcare Representative,Married,No,Y,3,0,23,Master's Degree,4,147,94,3,3,4,10312,3465,1,12,3,4,80,59,1,40,2,40,10,15,6
STAFF-167,167,Yes,Rarely,19,Under 25,Ex-Employees,Sales,Marketing,Male,Sales Representative,Single,Yes,Y,2,0,22,High School,4,528,50,3,1,3,1675,26820,1,19,3,4,85,68,0,0,2,0,0,0,0
STAFF-169,169,No,Rarely,22,Under 25,Current Employees,R&D,Technical Degree,Male,Laboratory Technician,Married,No,Y,2,1,2,High School,3,594,100,3,1,4,2523,19299,0,14,3,3,55,73,1,3,3,2,1,2,1
STAFF-170,170,No,Rarely,49,45 - 54,Current Employees,R&D,Medical,Female,Manufacturing Director,Married,No,Y,2,1,20,Master's Degree,3,470,96,3,2,1,6567,5549,1,14,3,3,65,58,0,16,2,15,11,5,11
STAFF-171,171,No,Frequently,43,35 - 44,Current Employees,R&D,Medical,Female,Research Scientist,Single,No,Y,2,1,28,Bachelor's Degree,2,957,72,4,1,3,4739,16090,4,12,3,4,80,87,0,18,3,3,2,1,2
STAFF-174,174,No,Frequently,50,45 - 54,Current Employees,Sales,Marketing,Female,Sales Executive,Single,No,Y,3,1,12,Bachelor's Degree,3,809,77,3,3,4,9208,6645,4,11,3,4,80,41,0,16,3,2,2,2,1
STAFF-175,175,Yes,Rarely,31,25 - 34,Ex-Employees,Sales,Life Sciences,Female,Sales Executive,Married,Yes,Y,2,0,20,Bachelor's Degree,2,542,71,1,2,3,4559,24788,3,11,3,3,55,80,1,4,3,2,2,2,2
STAFF-176,176,No,Rarely,41,35 - 44,Current Employees,Sales,Life Sciences,Male,Sales Executive,Divorced,Yes,Y,2,1,9,High School,3,802,96,3,3,3,8189,21196,3,13,3,3,65,77,1,12,3,9,7,0,7
STAFF-177,177,No,Rarely,26,25 - 34,Current Employees,HR,Life Sciences,Female,Human Resources,Married,No,Y,3,1,25,High School,3,1355,61,3,1,3,2942,8916,1,23,4,4,80,55,1,8,3,8,7,5,7
STAFF-178,178,No,Rarely,36,35 - 44,Current Employees,R&D,Medical,Male,Manufacturing Director,Divorced,No,Y,0,1,6,Associates Degree,2,216,84,3,2,2,4941,2819,6,20,4,4,50,46,2,7,3,3,2,0,1
STAFF-179,179,Yes,Frequently,51,45 - 54,Ex-Employees,R&D,Life Sciences,Male,Manufacturing Director,Single,No,Y,2,0,8,Master's Degree,1,1150,53,1,3,4,10650,25150,2,15,3,4,60,39,0,18,3,4,2,0,3
STAFF-182,182,No,Rarely,39,35 - 44,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,1,1,4,Master's Degree,4,1329,47,2,2,3,5902,14590,4,14,3,3,50,33,1,17,4,15,11,5,9
STAFF-183,183,No,Rarely,25,25 - 34,Current Employees,Sales,Life Sciences,Male,Sales Executive,Married,No,Y,3,1,28,Bachelor's Degree,1,959,41,2,2,3,8639,24835,2,18,3,4,65,58,0,6,3,2,2,2,2
STAFF-184,184,No,Rarely,30,25 - 34,Current Employees,HR,Human Resources,Male,Human Resources,Married,Yes,Y,2,1,9,Bachelor's Degree,3,1240,48,3,2,4,6347,13982,0,19,3,4,80,78,0,12,1,11,9,4,7
STAFF-190,190,Yes,Rarely,32,25 - 34,Ex-Employees,R&D,Medical,Female,Laboratory Technician,Single,No,Y,2,0,9,Bachelor's Degree,1,1033,41,3,1,1,4200,10224,7,22,4,1,80,46,0,10,4,5,4,0,4
STAFF-192,192,No,Rarely,45,45 - 54,Current Employees,R&D,Medical,Male,Research Scientist,Single,No,Y,2,1,29,Bachelor's Degree,3,1316,83,3,1,4,3452,9752,5,13,3,2,50,46,0,9,2,6,5,0,3
STAFF-193,193,No,Rarely,38,35 - 44,Current Employees,R&D,Technical Degree,Female,Research Scientist,Single,Yes,Y,2,1,3,Doctoral Degree,4,364,32,3,2,3,4317,2302,3,20,4,2,60,46,0,19,3,3,2,2,2
STAFF-194,194,No,Rarely,30,25 - 34,Current Employees,R&D,Life Sciences,Female,Research Scientist,Single,No,Y,4,1,18,Bachelor's Degree,1,438,75,3,1,3,2632,23910,1,14,3,3,65,65,0,5,2,5,4,0,4
STAFF-195,195,No,Frequently,32,25 - 34,Current Employees,Sales,Medical,Male,Sales Executive,Divorced,No,Y,2,1,9,Associates Degree,4,689,35,1,2,4,4668,22812,0,17,3,4,60,87,3,9,4,8,7,0,7
STAFF-197,197,No,Rarely,30,25 - 34,Current Employees,R&D,Technical Degree,Female,Research Scientist,Divorced,No,Y,3,1,5,Bachelor's Degree,4,201,84,3,1,1,3204,10415,5,14,3,4,70,70,1,8,3,3,2,2,2
STAFF-198,198,No,Rarely,30,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Single,No,Y,3,1,2,High School,2,1427,35,2,1,4,2720,11162,0,13,3,4,60,46,0,6,3,5,3,1,2
STAFF-199,199,No,Frequently,41,35 - 44,Current Employees,R&D,Life Sciences,Male,Manager,Divorced,No,Y,2,1,10,Bachelor's Degree,4,857,91,2,4,1,17181,12888,4,13,3,2,55,69,1,21,2,7,6,7,7
STAFF-200,200,No,Rarely,41,35 - 44,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,No,Y,2,1,9,Master's Degree,3,933,94,3,1,1,2238,6961,2,21,4,4,75,54,1,7,3,5,0,1,4
STAFF-201,201,No,Rarely,19,Under 25,Current Employees,R&D,Medical,Female,Laboratory Technician,Single,No,Y,3,1,3,High School,2,1181,79,3,1,2,1483,16102,1,14,3,4,55,66,0,1,3,1,0,0,0
STAFF-202,202,No,Frequently,40,35 - 44,Current Employees,R&D,Medical,Female,Research Scientist,Divorced,No,Y,2,1,26,Bachelor's Degree,2,1395,54,3,2,2,5605,8504,1,11,3,1,65,33,1,20,3,20,7,2,13
STAFF-204,204,No,Rarely,35,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,3,1,1,Doctoral Degree,3,662,94,3,3,2,7295,11439,1,13,3,1,75,65,2,10,3,10,8,0,6
STAFF-205,205,No,Rarely,53,45 - 54,Current Employees,Sales,Marketing,Male,Sales Representative,Married,Yes,Y,3,1,6,Associates Degree,2,1436,34,3,2,3,2306,16047,2,20,4,4,85,89,1,13,1,7,7,4,5
STAFF-206,206,No,Rarely,45,45 - 54,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,Y,2,1,9,Bachelor's Degree,2,194,60,3,2,2,2348,10901,8,18,3,3,60,75,1,20,1,17,9,0,15
STAFF-207,207,No,Frequently,32,25 - 34,Current Employees,Sales,Marketing,Female,Sales Executive,Single,No,Y,2,1,8,Bachelor's Degree,2,967,43,3,3,4,8998,15589,1,14,3,4,60,68,0,9,3,9,8,3,7
STAFF-208,208,No,No,29,25 - 34,Current Employees,R&D,Technical Degree,Male,Manufacturing Director,Married,No,Y,1,1,1,High School,4,1496,41,3,2,3,4319,26283,1,13,3,1,85,53,1,10,3,10,7,0,9
STAFF-211,211,No,Rarely,51,45 - 54,Current Employees,R&D,Medical,Male,Manufacturing Director,Married,No,Y,2,1,7,Master's Degree,2,1169,34,2,2,3,6132,13983,2,17,3,3,65,78,0,10,3,1,0,0,0
STAFF-214,214,No,Rarely,58,Over 55,Current Employees,R&D,Medical,Female,Research Scientist,Married,Yes,Y,3,1,9,Bachelor's Degree,2,1145,75,2,1,2,3346,11873,4,20,4,2,55,82,1,9,2,1,0,0,0
STAFF-215,215,No,Rarely,40,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,2,1,4,Master's Degree,3,630,67,2,3,4,10855,8552,7,11,3,1,65,76,1,15,2,12,11,2,11
STAFF-216,216,No,Frequently,34,25 - 34,Current Employees,Sales,Marketing,Female,Sales Representative,Married,No,Y,3,1,2,Master's Degree,3,303,75,3,1,3,2231,11314,6,18,3,4,50,67,1,6,3,4,3,1,2
STAFF-217,217,No,Rarely,22,Under 25,Current Employees,R&D,Medical,Male,Research Scientist,Married,No,Y,6,1,19,High School,3,1256,80,3,1,4,2323,11992,1,24,4,1,60,69,2,2,3,2,2,2,2
STAFF-218,218,No,No,27,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Divorced,No,Y,1,1,9,Bachelor's Degree,4,691,57,3,1,2,2024,5970,6,18,3,4,60,74,1,6,1,2,2,2,2
STAFF-221,221,No,Rarely,28,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Married,No,Y,2,1,21,Bachelor's Degree,3,440,42,3,1,4,2713,6672,1,11,3,3,85,51,1,5,1,5,2,0,2
STAFF-223,223,No,Rarely,57,Over 55,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Divorced,Yes,Y,2,1,24,Associates Degree,3,334,83,4,3,4,9439,23402,3,16,3,2,75,52,1,12,1,5,3,1,4
STAFF-224,224,No,No,27,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Divorced,Yes,Y,2,1,3,Bachelor's Degree,3,1450,79,2,1,3,2566,25326,1,15,3,4,80,79,1,1,2,1,1,0,1
STAFF-226,226,No,Rarely,50,45 - 54,Current Employees,R&D,Life Sciences,Female,Manager,Single,No,Y,5,1,11,Bachelor's Degree,3,1452,53,3,5,2,19926,17053,3,15,3,2,55,84,0,21,3,5,4,4,4
STAFF-227,227,No,Rarely,41,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,No,Y,2,1,14,Bachelor's Degree,1,465,56,3,1,3,2451,4609,4,12,3,1,60,40,1,13,3,9,8,1,8
STAFF-228,228,No,Rarely,30,25 - 34,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,2,1,5,Bachelor's Degree,2,1339,41,3,3,4,9419,8053,2,12,3,3,65,32,1,12,3,10,9,7,4
STAFF-230,230,No,Rarely,38,35 - 44,Current Employees,Sales,Life Sciences,Female,Sales Executive,Single,No,Y,2,1,1,Master's Degree,1,702,59,2,2,4,8686,12930,4,22,4,3,65,39,0,12,4,8,3,0,7
STAFF-231,231,No,Rarely,32,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Single,No,Y,2,1,6,Doctoral Degree,3,120,43,3,1,3,3038,12430,3,20,4,1,85,64,0,8,3,5,4,1,4
STAFF-233,233,No,Rarely,27,25 - 34,Current Employees,R&D,Technical Degree,Male,Research Scientist,Married,Yes,Y,3,1,17,Bachelor's Degree,3,1157,51,3,1,2,3058,13364,0,16,3,4,85,89,1,6,2,5,2,1,1
STAFF-235,235,Yes,Frequently,19,Under 25,Ex-Employees,Sales,Technical Degree,Female,Sales Representative,Single,No,Y,5,0,1,High School,3,602,100,1,1,1,2325,20989,0,21,4,1,55,51,0,1,4,0,0,0,0
STAFF-238,238,No,Frequently,36,35 - 44,Current Employees,R&D,Medical,Male,Laboratory Technician,Single,No,Y,3,1,3,Associates Degree,4,1480,30,3,1,2,2088,15062,4,12,3,3,80,35,0,13,2,8,7,7,2
STAFF-239,239,No,No,30,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Divorced,No,Y,4,1,9,Bachelor's Degree,3,111,66,3,2,1,3072,11012,1,11,3,3,65,59,2,12,3,12,9,6,10
STAFF-240,240,No,Rarely,45,45 - 54,Current Employees,Sales,Life Sciences,Female,Sales Executive,Divorced,Yes,Y,3,1,4,Associates Degree,3,1268,30,3,2,1,5006,6319,4,11,3,1,75,66,1,9,4,5,4,0,3
STAFF-241,241,No,Rarely,56,Over 55,Current Employees,R&D,Life Sciences,Female,Research Scientist,Divorced,Yes,Y,3,1,8,Bachelor's Degree,3,713,67,3,1,1,4257,13939,4,18,3,3,55,52,1,19,3,2,2,2,2
STAFF-242,242,No,Rarely,33,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Single,No,Y,2,1,2,Bachelor's Degree,3,134,90,3,1,4,2500,10515,0,14,3,1,60,52,0,4,4,3,1,0,2
STAFF-243,243,Yes,Rarely,19,Under 25,Ex-Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,No,Y,3,0,2,Bachelor's Degree,2,303,47,2,1,4,1102,9241,1,22,4,3,75,33,0,1,2,1,0,1,0
STAFF-244,244,No,Rarely,46,45 - 54,Current Employees,Sales,Marketing,Female,Sales Executive,Divorced,No,Y,2,1,1,Associates Degree,2,526,92,3,3,1,10453,2137,1,25,4,3,50,39,3,24,3,24,13,15,7
STAFF-245,245,No,Rarely,38,35 - 44,Current Employees,R&D,Life Sciences,Female,Laboratory Technician,Single,No,Y,3,1,9,Associates Degree,3,1380,75,3,1,4,2288,6319,1,12,3,3,50,51,0,2,3,2,2,2,1
STAFF-246,246,No,Rarely,31,25 - 34,Current Employees,R&D,Medical,Female,Research Scientist,Married,Yes,Y,0,1,12,High School,3,140,95,3,1,4,3929,6984,8,23,4,3,70,57,1,7,3,4,2,0,2
STAFF-247,247,No,Rarely,34,25 - 34,Current Employees,R&D,Medical,Female,Research Scientist,Single,No,Y,3,1,27,Associates Degree,4,629,95,3,1,2,2311,5711,2,15,3,4,75,50,0,9,3,3,2,1,2
STAFF-248,248,Yes,Rarely,41,35 - 44,Ex-Employees,Sales,Marketing,Female,Sales Representative,Single,Yes,Y,5,0,20,Associates Degree,2,1356,70,3,1,2,3140,21728,1,22,4,4,60,54,0,4,2,4,3,0,2
STAFF-249,249,No,Rarely,50,45 - 54,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,2,1,1,Bachelor's Degree,3,328,86,2,1,3,3690,3425,2,15,3,4,55,63,1,5,2,3,2,0,2
STAFF-250,250,No,Rarely,53,45 - 54,Current Employees,R&D,Medical,Female,Manufacturing Director,Divorced,No,Y,3,1,13,Associates Degree,4,1084,57,4,2,1,4450,26250,1,11,3,3,80,59,2,5,3,4,2,1,3
STAFF-252,252,No,Rarely,33,25 - 34,Current Employees,R&D,Medical,Female,Research Scientist,Married,No,Y,5,1,14,Bachelor's Degree,4,931,72,3,1,2,2756,4673,1,13,3,4,50,63,1,8,3,8,7,1,6
STAFF-253,253,No,Rarely,40,35 - 44,Current Employees,R&D,Medical,Female,Manager,Married,No,Y,2,1,4,High School,4,989,46,3,5,3,19033,6499,1,14,3,2,85,36,1,21,3,20,8,9,9
STAFF-254,254,No,Rarely,55,Over 55,Current Employees,R&D,Medical,Male,Research Director,Single,No,Y,3,1,14,Master's Degree,3,692,61,4,5,2,18722,13339,8,11,3,4,85,45,0,36,3,24,15,2,15
STAFF-256,256,No,Frequently,34,25 - 34,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Married,No,Y,2,1,2,High School,4,1069,45,2,2,3,9547,14074,1,17,3,3,70,74,0,10,2,10,9,1,9
STAFF-258,258,No,Rarely,51,45 - 54,Current Employees,R&D,Medical,Female,Healthcare Representative,Single,No,Y,6,1,3,Bachelor's Degree,4,313,98,3,4,2,13734,7192,3,18,3,3,75,67,0,21,3,7,7,1,0
STAFF-259,259,No,Rarely,52,45 - 54,Current Employees,R&D,Life Sciences,Male,Manager,Married,No,Y,5,1,1,Master's Degree,3,699,65,2,5,3,19999,5678,0,14,3,1,80,30,1,34,3,33,18,11,9
STAFF-260,260,No,Rarely,27,25 - 34,Current Employees,R&D,Medical,Female,Research Scientist,Single,No,Y,2,1,9,Bachelor's Degree,4,894,99,3,1,2,2279,11781,1,16,3,4,65,44,0,7,2,7,7,0,3
STAFF-261,261,Yes,Rarely,35,35 - 44,Ex-Employees,R&D,Life Sciences,Male,Manufacturing Director,Married,Yes,Y,1,0,23,Associates Degree,2,556,50,2,2,3,5916,15497,3,13,3,1,70,56,0,8,3,1,0,0,1
STAFF-262,262,No,No,43,35 - 44,Current Employees,R&D,Medical,Male,Research Scientist,Divorced,No,Y,3,1,7,Bachelor's Degree,4,1344,37,4,1,4,2089,5228,4,14,3,4,65,54,3,7,4,5,4,2,2
STAFF-264,264,No,No,45,45 - 54,Current Employees,R&D,Medical,Male,Manager,Married,No,Y,1,1,2,Associates Degree,1,1195,65,2,4,4,16792,20462,9,23,4,4,55,47,1,22,3,20,8,11,8
STAFF-267,267,No,Rarely,37,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,Yes,Y,3,1,21,Bachelor's Degree,2,290,65,4,1,1,3564,22977,1,12,3,1,70,80,1,8,2,8,7,1,7
STAFF-269,269,No,Frequently,35,35 - 44,Current Employees,R&D,Medical,Female,Laboratory Technician,Single,No,Y,5,1,2,Bachelor's Degree,2,138,37,3,2,2,4425,15986,5,11,3,4,50,87,0,10,3,6,2,1,2
STAFF-270,270,No,No,42,35 - 44,Current Employees,R&D,Medical,Female,Manufacturing Director,Divorced,No,Y,5,1,21,Associates Degree,3,926,36,3,2,3,5265,16439,2,16,3,2,75,46,1,11,3,5,3,0,2
STAFF-271,271,No,Rarely,38,35 - 44,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Married,No,Y,3,1,2,Master's Degree,4,1261,88,3,2,3,6553,7259,9,14,3,2,60,40,0,14,3,1,0,0,0
STAFF-273,273,No,Rarely,38,35 - 44,Current Employees,R&D,Technical Degree,Male,Manufacturing Director,Married,No,Y,3,1,29,Bachelor's Degree,4,1084,54,3,2,4,6261,4185,3,18,3,1,55,75,1,9,1,7,7,1,7
STAFF-274,274,No,Frequently,27,25 - 34,Current Employees,R&D,Technical Degree,Male,Manufacturing Director,Married,No,Y,1,1,1,High School,3,472,60,2,2,1,4298,9679,5,19,3,3,85,81,1,6,3,2,2,2,0
STAFF-275,275,No,No,49,45 - 54,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Divorced,Yes,Y,0,1,18,Master's Degree,4,1002,92,3,2,4,6804,23793,1,15,3,1,75,72,2,7,3,7,7,1,7
STAFF-277,277,No,Frequently,34,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Divorced,Yes,Y,4,1,10,Master's Degree,4,878,43,3,1,3,3815,5972,1,17,3,4,50,52,1,5,4,5,3,2,0
STAFF-281,281,No,Rarely,40,35 - 44,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,Yes,Y,2,1,19,Associates Degree,3,905,99,3,2,4,2741,16523,8,15,3,3,75,41,1,15,4,7,2,3,7
STAFF-282,282,Yes,Rarely,38,35 - 44,Ex-Employees,R&D,Medical,Male,Healthcare Representative,Married,Yes,Y,2,0,29,High School,2,1180,70,3,2,1,6673,11354,7,19,3,2,80,52,0,17,3,1,0,0,0
STAFF-283,283,Yes,Rarely,29,25 - 34,Ex-Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,3,0,27,Bachelor's Degree,2,121,35,3,3,4,7639,24525,1,22,4,4,80,65,3,10,2,10,4,1,9
STAFF-284,284,No,Rarely,22,Under 25,Current Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,Yes,Y,2,1,5,Bachelor's Degree,4,1136,60,4,1,2,2328,12392,1,16,3,1,55,32,1,4,2,4,2,2,2
STAFF-286,286,No,Frequently,36,35 - 44,Current Employees,R&D,Medical,Female,Laboratory Technician,Single,No,Y,2,1,18,High School,2,635,73,3,1,4,2153,7703,1,13,3,1,75,77,0,8,3,8,1,1,7
STAFF-287,287,No,No,40,35 - 44,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Married,No,Y,5,1,9,Doctoral Degree,4,1151,63,2,2,4,4876,14242,9,14,3,4,80,80,1,5,1,3,2,0,2
STAFF-288,288,No,Rarely,46,45 - 54,Current Employees,R&D,Medical,Male,Healthcare Representative,Divorced,No,Y,3,1,1,Master's Degree,4,644,97,3,3,1,9396,12368,7,16,3,3,60,69,1,17,3,4,2,0,3
STAFF-291,291,Yes,Rarely,32,25 - 34,Ex-Employees,Sales,Medical,Male,Sales Executive,Married,No,Y,2,0,4,Master's Degree,4,1045,32,1,3,4,10400,25812,1,11,3,3,55,86,0,14,2,14,8,9,8
STAFF-292,292,No,No,30,25 - 34,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Single,No,Y,2,1,1,High School,3,829,88,2,3,3,8474,20925,1,22,4,3,55,60,0,12,3,11,8,5,8
STAFF-293,293,No,Frequently,27,25 - 34,Current Employees,Sales,Life Sciences,Female,Sales Executive,Single,No,Y,2,1,20,Bachelor's Degree,4,1242,90,3,2,3,9981,12916,1,14,3,4,70,62,0,7,3,7,7,0,7
STAFF-296,296,No,Rarely,51,45 - 54,Current Employees,R&D,Life Sciences,Male,Research Director,Married,No,Y,5,1,8,Master's Degree,2,1469,81,2,3,2,12490,15736,5,16,3,4,65,80,2,16,1,10,9,4,7
STAFF-297,297,Yes,Rarely,30,25 - 34,Ex-Employees,R&D,Technical Degree,Female,Research Scientist,Single,Yes,Y,5,0,3,Bachelor's Degree,4,1005,88,3,1,1,2657,8556,5,11,3,3,50,59,0,8,3,5,2,0,4
STAFF-298,298,No,Rarely,41,35 - 44,Current Employees,Sales,Life Sciences,Female,Manager,Single,Yes,Y,3,1,6,Bachelor's Degree,4,896,75,3,3,4,13591,14674,3,18,3,3,75,69,0,16,3,1,0,0,0
STAFF-299,299,Yes,Frequently,30,25 - 34,Ex-Employees,Sales,Marketing,Female,Sales Executive,Single,No,Y,5,0,26,Master's Degree,3,334,52,2,2,1,6696,22967,5,15,3,3,55,53,0,9,2,6,3,0,1
STAFF-300,300,Yes,Rarely,29,25 - 34,Ex-Employees,R&D,Technical Degree,Male,Research Scientist,Single,No,Y,1,0,1,Bachelor's Degree,3,992,85,3,1,3,2058,19757,0,14,3,4,60,86,0,7,2,6,2,1,5
STAFF-302,302,No,No,45,45 - 54,Current Employees,Sales,Medical,Female,Sales Executive,Single,No,Y,2,1,6,Bachelor's Degree,4,1052,57,2,3,4,8865,16840,6,12,3,4,65,62,0,23,3,19,7,12,8
STAFF-303,303,No,Rarely,54,45 - 54,Current Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,4,1,3,Bachelor's Degree,4,1147,52,3,2,1,5940,17011,2,14,3,4,70,90,1,16,3,6,2,0,5
STAFF-304,304,No,Rarely,36,35 - 44,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,No,Y,3,1,5,Associates Degree,4,1396,62,3,2,2,5914,9945,8,16,3,4,60,77,0,16,4,13,11,3,7
STAFF-305,305,No,Rarely,33,25 - 34,Current Employees,R&D,Medical,Female,Research Scientist,Married,No,Y,3,1,4,Master's Degree,3,147,47,2,1,2,2622,13248,6,21,4,4,60,54,0,7,3,3,2,1,1
STAFF-306,306,No,Frequently,37,35 - 44,Current Employees,R&D,Other,Male,Research Director,Divorced,Yes,Y,1,1,11,Bachelor's Degree,2,663,47,3,3,4,12185,10056,1,14,3,3,80,47,3,10,3,10,8,0,7
STAFF-307,307,No,Rarely,38,35 - 44,Current Employees,Sales,Life Sciences,Male,Sales Executive,Divorced,No,Y,6,1,3,Bachelor's Degree,1,119,76,3,3,3,10609,9647,0,12,3,3,60,42,2,17,2,16,10,5,13
STAFF-308,308,No,No,31,25 - 34,Current Employees,R&D,Medical,Male,Manufacturing Director,Married,No,Y,2,1,1,Master's Degree,3,979,90,1,2,3,4345,4381,0,12,3,4,65,51,1,6,3,5,4,1,4
STAFF-309,309,No,Rarely,59,Over 55,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,6,1,3,Bachelor's Degree,3,142,70,2,1,4,2177,8456,3,17,3,1,75,52,1,7,3,1,0,0,0
STAFF-311,311,No,Frequently,37,35 - 44,Current Employees,Sales,Marketing,Male,Sales Representative,Divorced,No,Y,2,1,4,Master's Degree,1,319,41,3,1,4,2793,2539,4,17,3,3,65,53,1,13,3,9,8,5,8
STAFF-312,312,No,Frequently,29,25 - 34,Current Employees,Sales,Medical,Female,Sales Executive,Married,No,Y,5,1,1,High School,2,1413,42,3,3,4,7918,6599,1,14,3,4,50,45,1,11,3,11,10,4,1
STAFF-314,314,No,Frequently,35,35 - 44,Current Employees,Sales,Marketing,Female,Sales Executive,Single,No,Y,3,1,1,Bachelor's Degree,3,944,92,3,3,3,8789,9096,1,14,3,1,70,61,0,10,4,10,7,0,8
